,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Avaliação de Maturidade de Dados,,,,,
,,,,,,,
,,Identificação,,,,,
,,,,,,,
,,,Ano de Avaliação,,,,
,,,Nome do Órgão,,,,
,,,Tipo de Órgão,,,,
,,,Área de Atuação,,,,
,,,,,,,
,,, Responsável *,,,,
,,,E-mail *,,,,
,,,Setor *,,,,
,,,Cargo *,,,,
,,,,,,,
,,,Dimensões e Temas para Avaliação,,,,
,,,,,,,
,,,Níveis de Maturidade,,,0-NÃO SE APLICA,
,,,,,,1,
,,,,,,2,
,,,,,,3,
,,,,,,4,
,,,,,,5,
,,,,,,,
,,,Dimensão:,Governança de Dados,,,
,,,ID,Temas,,Nível de Maturidade *,Observação 
,,,1.1.,Estrutura Organizacional para Governança de Dados,1,1-INICIAL,Sem evidencias no escopo conecta-social/src
,,,1.2.,Promoção da Cultura de Dados pela Alta Gestão,1,1-INICIAL,Sem evidencias no escopo conecta-social/src
,,,1.3.,Princípios e Políticas de Dados,1,1-INICIAL,Sem evidencias no escopo conecta-social/src
,,,1.4.,Letramento em Dados,1,1-INICIAL,Sem evidencias no escopo conecta-social/src
,,,,,,,
,,,Dimensão: ,Dados como Ativo Estratégico,,,
,,,ID,Temas,,Nível de Maturidade *,Observação 
,,,2.1.,Alinhamento com Objetivos Estratégicos ,1,1-INICIAL,Sem evidencias no escopo conecta-social/src
,,,2.2.,Gestão Orientada a Dados ,1,1-INICIAL,Sem evidencias no escopo conecta-social/src
,,,2.3.,Dados como Pilar para Entregas à Sociedade ,1,1-INICIAL,Sem evidencias no escopo conecta-social/src
,,,,,,,
,,,Dimensão: ,Conhecimento sobre os Dados,,,
,,,ID,Temas,,Nível de Maturidade *,Observação
,,,3.1.,Documentação dos Ativos de Dados,1,1-INICIAL,Sem evidencias no escopo conecta-social/src
,,,3.2.,Glossário de Termos de Negócio,1,1-INICIAL,Sem evidencias no escopo conecta-social/src
,,,3.3.,Modelagem de Dados,2,2-BÁSICO,Modelos Mongoose e entidades de dominio definem estrutura em conecta-social/src/modules/social/infra/database/mongodb/models/referencePersonModel.ts e conecta-social/src/modules/social/domain/entity/referencePerson.ts
,,,3.4.,Gestão de Metadados,1,1-INICIAL,Sem evidencias no escopo conecta-social/src
,,,,,,,
,,,Dimensão:,Dados Abertos,,,
