ID,TEMA ,NÍVEL,DESCRIÇÃO NÍVEL,OBS,ANO,ÓRGÃO,TIPO ÓRGÃO,ATUAÇÃO,DIMENSÃO,RESPONSAVEL,EMAIL,SETOR,CARGO
1.1.,Estrutura Organizacional para Governança de Dados,0,0-NÃO SE APLICA,,,,,,Governança de Dados,,,,
1.2.,Promoção da Cultura de Dados pela Alta Gestão,0,0-NÃO SE APLICA,,,,,,Governança de Dados,,,,
1.3.,Princípios e Políticas de Dados,0,0-NÃO SE APLICA,,,,,,Governança de Dados,,,,
1.4.,Letramento em Dados,0,0-NÃO SE APLICA,,,,,,Governança de Dados,,,,
2.1.,Alinhamento com Objetivos Estratégicos ,0,0-NÃO SE APLICA,,,,,,Dados como Ativo Estratégico,,,,
2.2.,Gestão Orientada a Dados ,0,0-NÃO SE APLICA,,,,,,Dados como Ativo Estratégico,,,,
2.3.,Dados como Pilar para Entregas à Sociedade ,0,0-NÃO SE APLICA,,,,,,Dados como Ativo Estratégico,,,,
3.1.,Documentação dos Ativos de Dados,0,0-NÃO SE APLICA,,,,,,Conhecimento sobre os Dados,,,,
3.2.,Glossário de Termos de Negócio,0,0-NÃO SE APLICA,,,,,,Conhecimento sobre os Dados,,,,
3.3.,Modelagem de Dados,0,0-NÃO SE APLICA,,,,,,Conhecimento sobre os Dados,,,,
3.4.,Gestão de Metadados,0,0-NÃO SE APLICA,,,,,,Conhecimento sobre os Dados,,,,
4.1.,Implementação da Política de Dados Abertos,0,0-NÃO SE APLICA,,,,,,Dados Abertos,,,,
4.2.,Ecossistema de Dados Abertos,0,0-NÃO SE APLICA,,,,,,Dados Abertos,,,,
5.1.,Gerenciamento de Dados Mestres e Dados de Referência,0,0-NÃO SE APLICA,,,,,,Gerenciamento de Dados,,,,
5.2.,Ciclo de Vida dos Dados,0,0-NÃO SE APLICA,,,,,,Gerenciamento de Dados,,,,
5.3.,Dados não Estruturados,0,0-NÃO SE APLICA,,,,,,Gerenciamento de Dados,,,,
5.4.,Gerenciamento de dados geoespaciais,0,0-NÃO SE APLICA,,,,,,Gerenciamento de Dados,,,,
6.1.,Infraestrutura e Ferramentas para Análise de Dados,0,0-NÃO SE APLICA,,,,,,Análise de Dados,,,,
6.2.,Relevância e Suficiência dos Dados,0,0-NÃO SE APLICA,,,,,,Análise de Dados,,,,
6.3.,Desenvolvimento da Capacidade Analítica,0,0-NÃO SE APLICA,,,,,,Análise de Dados,,,,
6.4.,Tomada de Decisão Baseada em Dados,0,0-NÃO SE APLICA,,,,,,Análise de Dados,,,,
7.1.,Padrões e Normas para Interoperabilidade,0,0-NÃO SE APLICA,,,,,,Interoperabilidade de Dados,,,,
7.2.,Integração de Sistemas,0,0-NÃO SE APLICA,,,,,,Interoperabilidade de Dados,,,,
7.3.,Monitoramento e Avaliação da Interoperabilidade,0,0-NÃO SE APLICA,,,,,,Interoperabilidade de Dados,,,,
7.4.,Compartilhamento de Dados com Atores Externos,0,0-NÃO SE APLICA,,,,,,Interoperabilidade de Dados,,,,
8.1.,Ética no Tratamento de Dados,0,0-NÃO SE APLICA,,,,,,Ética de Dados,,,,
9.1.,Gestão de Qualidade de Dados,0,0-NÃO SE APLICA,,,,,,Qualidade de Dados,,,,
9.2.,Cultura de Qualidade de Dados,0,0-NÃO SE APLICA,,,,,,Qualidade de Dados,,,,
9.3.,Medição e Controle da Qualidade de Dados,0,0-NÃO SE APLICA,,,,,,Qualidade de Dados,,,,
10.1.,Estratégia de Inteligência Artificial ,0,0-NÃO SE APLICA,,,,,,Inteligência Artificial,,,,
